id,name,price,original_price,discount,discount_rate,days_created,review_count,authors,images,categories,order_count
270529639.0,Cơn lốc quản trị - Ba trụ cột của văn hóa doanh nghiệp,111000.0,140000.0,29000.0,21.0,94,25.0,Phan Văn Trường,https://salt.tikicdn.com/ts/product/85/b5/30/9cfcfdc4988de55a7cd69a6509edea66.png,"Sách quản trị, lãnh đạo",
46240929.0,Rèn Luyện Tư Duy Phản Biện,68000.0,99000.0,31000.0,31.0,1393,4730.0,Albert Rutherford,https://salt.tikicdn.com/ts/product/71/c2/4b/58afce3cf6c10b648d1d28252fdf5e48.jpg,Sách tiếng Việt,
117254517.0,Đại Dương Đen - Những Câu Chuyện Từ Thế Giới Của Trầm Cảm,172000.0,240000.0,68000.0,28.0,804,2314.0,Đặng Hoàng Giang,https://salt.tikicdn.com/ts/product/f7/fb/9a/e8b9a94478dc887c4b84b6b6439f6335.jpg,Sách tiếng Việt,
50322710.0,48 Nguyên Tắc Chủ Chốt Của Quyền Lực (Tái Bản 2020),155000.0,200000.0,45000.0,23.0,1321,796.0,Robert Greene,https://salt.tikicdn.com/ts/product/c5/2d/9b/246d06f4ceee964a87ac4bcc2c6b3138.jpg,Sách tiếng Việt,
52788072.0,Chiến Binh Cầu Vồng (Tái Bản 2020),81300.0,109000.0,27700.0,25.0,1285,3332.0,Andrea Hirata,https://salt.tikicdn.com/ts/product/a1/ef/4f/0b39e40dca3827604c8bc4e867cc9423.jpg,Sách tiếng Việt,
,,,,,,320,,,,,
143217512.0,Điềm Tĩnh Và Nóng Giận,71100.0,96000.0,24900.0,26.0,698,1097.0,Tạ Quốc Kế,https://salt.tikicdn.com/ts/product/fa/5d/f3/6276723d9fad2743db7591aeafb93f0a.jpg,Sách tiếng Việt,
,,,,,,208,,,,,
100321478.0,Muốn An Được An (Tái bản 2021),45000.0,65000.0,20000.0,31.0,881,415.0,Thích Nhất Hạnh,https://salt.tikicdn.com/ts/product/29/14/51/ca3a18dcb651b9b6cc3a0b86092fc4c4.png,Sách Tôn Giáo - Tâm Linh,
249157126.0,Đứa Trẻ Hiểu Chuyện Thường Không Có Kẹo Ăn,101000.0,148000.0,47000.0,32.0,208,84.0,Nguyên Anh,https://salt.tikicdn.com/ts/product/5a/05/55/8af7367f7beaf32b73bdcfcb98b17c38.png,Lĩnh vực khác,
